,generator,base_0,base_1,base_2,base_3,base_4
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-78.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-83.jpg,CompVis,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-96.jpg,CompVis,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-98.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-47.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-8.jpg,CompVis,0.205,0.0025000000000000022,0.07749999999999999,0.075,0.15499999999999997
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-3.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-77.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-92.jpg,CompVis,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-48.jpg,CompVis,0.0,0.2475,0.17250000000000001,0.34500000000000003,0.075
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-22.jpg,CompVis,0.3325,0.155,0.205,0.0775,0.28250000000000003
https://ik.imagekit.io/seeingthewords/data/CompVis/prompt_0/SD-COMPVIS-P0-38.jpg,CompVis,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-33.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-21.jpg,dream,0.205,0.0025000000000000022,0.07749999999999999,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-23.jpg,dream,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-89.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-97.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-25.jpg,dream,0.255,0.0775,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-62.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-70.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-18.jpg,dream,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-86.jpg,dream,0.205,0.0025000000000000022,0.0775,0.075,0.155
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-15.jpg,dream,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-50.jpg,dream,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-46.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-60.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.0775
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-74.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-35.jpg,dream,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-57.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-22.jpg,dream,0.0,0.2475,0.17250000000000001,0.34500000000000003,0.075
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-39.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-67.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-78.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-30.jpg,dream,0.0725,0.24500000000000002,0.22000000000000003,0.3675,0.0975
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-58.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-45.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-1.jpg,dream,0.0775,0.15,0.075,0.2475,0.0025000000000000022
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-76.jpg,dream,0.1275,0.075,0.0,0.17250000000000001,0.07749999999999999
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-68.jpg,dream,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-5.jpg,dream,0.255,0.07749999999999999,0.1275,0.0,0.205
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-66.jpg,dream,0.12250000000000001,0.34500000000000003,0.29500000000000004,0.46749999999999997,0.17250000000000001
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-55.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-54.jpg,dream,0.34500000000000003,0.5925,0.5175,0.6900000000000001,0.42000000000000004
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-37.jpg,dream,0.025,0.17250000000000001,0.12250000000000001,0.29500000000000004,0.0
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-0.jpg,dream,0.1525,0.0,0.025,0.12250000000000001,0.1275
https://ik.imagekit.io/seeingthewords/data/dream/prompt_0/SD-DREAM-P0-84.jpg,dream,0.255,0.07749999999999999,0.1275,0.0,0.205
